         31874 function calls (31325 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 concat.py:143(_get_result_dtype)
        1    0.000    0.000    0.000    0.000 parse.py:371(urlparse)
       78    0.000    0.000    0.000    0.000 common.py:121(classes)
        3    0.000    0.000    0.000    0.000 managers.py:169(blknos)
        1    0.000    0.000    0.000    0.000 base.py:841(_engine)
        2    0.000    0.000    0.000    0.000 managers.py:1726(is_consolidated)
       36    0.000    0.000    0.000    0.000 base.py:7571(ensure_has_len)
      146    0.000    0.000    0.000    0.000 typing.py:1737(cast)
        3    0.000    0.000    0.000    0.000 _asarray.py:27(require)
       79    0.000    0.000    0.000    0.000 multiarray.py:1080(copyto)
       36    0.000    0.000    0.000    0.000 common.py:306(is_null_slice)
       80    0.000    0.000    0.000    0.000 generic.py:358(attrs)
        1    0.000    0.000    0.000    0.000 series.py:6090(_reduce)
        5    0.000    0.000    0.000    0.000 common.py:1562(validate_all_hashable)
        1    0.000    0.000    0.000    0.000 readers.py:1513(_clean_options)
      138    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method torch.tensor}
       36    0.000    0.000    0.000    0.000 {method 'index' of 'range' objects}
        3    0.000    0.000    0.000    0.000 concat.py:597(<genexpr>)
       40    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
       73    0.000    0.000    0.000    0.000 missing.py:971(clean_reindex_fill_method)
        2    0.000    0.000    0.000    0.000 managers.py:1734(_consolidate_check)
       26    0.000    0.000    0.000    0.000 c_parser_wrapper.py:367(<listcomp>)
        1    0.000    0.000    0.000    0.000 readers.py:1782(__exit__)
        4    0.000    0.000    0.000    0.000 managers.py:225(set_axis)
        2    0.000    0.000    0.000    0.000 base.py:836(__iter__)
        1    0.000    0.000    0.000    0.000 common.py:1223(dedup_names)
      110    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:201(_set_noconvert_columns)
        1    0.000    0.000    0.000    0.000 managers.py:308(apply)
        5    0.000    0.000    0.000    0.000 cast.py:1359(np_find_common_type)
       26    0.000    0.000    0.000    0.000 c_parser_wrapper.py:370(<setcomp>)
       80    0.000    0.000    0.000    0.000 flags.py:57(allows_duplicate_labels)
        3    0.000    0.000    0.000    0.000 inference.py:273(is_dict_like)
        1    0.000    0.000    0.000    0.000 concat.py:713(_get_concat_axis)
        1    0.000    0.000    0.000    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
       12    0.000    0.000    0.000    0.000 _functional_tensor.py:13(_assert_image_tensor)
        5    0.000    0.000    0.000    0.000 blocks.py:297(slice_block_columns)
        2    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 readers.py:1450(close)
